        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
202863/202856    0.115    0.000    0.702    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:876(eval)
   201810    0.114    0.000    0.652    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
   704996    0.456    0.000    0.639    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:57(pop)
   202136    0.176    0.000    0.581    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/html.py:17(escape)
       49    0.002    0.000    0.572    0.012 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/silk/sql.py:64(execute_sql)
   201810    0.163    0.000    0.560    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
   402733    0.194    0.000    0.551    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:23(__exit__)
201466/201456    0.221    0.000    0.548    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:89(__contains__)
   201810    0.132    0.000    0.411    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:287(helper)
   202136    0.263    0.000    0.405    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:12(escape)
       98    0.001    0.000    0.389    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/utils.py:100(execute)
       98    0.000    0.000    0.384    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/utils.py:66(execute)
       98    0.000    0.000    0.384    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/utils.py:76(_execute_with_wrappers)
       98    0.001    0.000    0.384    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/utils.py:82(_execute)
       98    0.000    0.000    0.383    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/mysql/base.py:72(execute)
       98    0.000    0.000    0.383    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:162(execute)
       98    0.001    0.000    0.381    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:325(_query)
       49    0.001    0.000    0.374    0.008 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:1532(execute_sql)
   809888    0.286    0.000    0.358    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/functional.py:241(<genexpr>)
   201267    0.104    0.000    0.353    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:202(<dictcomp>)
   100779    0.132    0.000    0.301    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:162(update)
1539376/1531377    0.202    0.000    0.300    0.000 {built-in method builtins.len}
1741822/1741820    0.294    0.000    0.294    0.000 {built-in method builtins.isinstance}
   201810    0.237    0.000    0.279    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:104(__init__)
       98    0.000    0.000    0.274    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/connections.py:251(query)
       98    0.274    0.003    0.274    0.003 {function Connection.query at 0x10ddae660}
   502474    0.111    0.000    0.263    0.000 {built-in method builtins.setattr}
   100745    0.171    0.000    0.258    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaultfilters.py:264(stringformat)
   201284    0.145    0.000    0.248    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:243(construct_relative_path)
1119077/1117778    0.203    0.000    0.218    0.000 {built-in method builtins.getattr}
  1615839    0.199    0.000    0.199    0.000 {built-in method builtins.callable}
  1553263    0.195    0.000    0.195    0.000 {method 'append' of 'list' objects}
   202327    0.141    0.000    0.193    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/safestring.py:58(mark_safe)
806643/806581    0.187    0.000    0.187    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:90(<genexpr>)
411178/411008    0.153    0.000    0.161    0.000 {method 'join' of 'str' objects}
   812270    0.159    0.000    0.159    0.000 {built-in method builtins.hasattr}
   100499    0.101    0.000    0.157    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/base.py:750(serializable_value)
   100235    0.138    0.000    0.152    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py:86(__set__)
  1011521    0.142    0.000    0.142    0.000 {method 'replace' of 'str' objects}
       49    0.001    0.000    0.138    0.003 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:213(format_stack)
   202374    0.091    0.000    0.127    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/timezone.py:181(template_localtime)
   202374    0.082    0.000    0.108    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/formats.py:199(localize)
       73    0.000    0.000    0.108    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:1879(_fetch_all)
   100529    0.107    0.000    0.107    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:692(create_option)
       69    0.000    0.000    0.099    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:379(__len__)
   100499    0.072    0.000    0.096    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1498(label_from_instance)
   506192    0.096    0.000    0.096    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:1027(render_annotated)
   706843    0.094    0.000    0.094    0.000 {method 'pop' of 'list' objects}
       17    0.000    0.000    0.093    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:613(get)
        1    0.000    0.000    0.092    0.092 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/options.py:687(wrapper)
