        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.011    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1105(initial_form_count)
       52    0.000    0.000    0.011    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:682(initial_form_count)
        2    0.000    0.000    0.010    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/formsets.py:171(total_form_count)
      504    0.000    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/translation/__init__.py:209(get_language)
       98    0.001    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:70(setup_query)
       46    0.000    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/widgets.py:298(get_related_url)
       86    0.000    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loaders/cached.py:25(get_contents)
      506    0.001    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/translation/trans_real.py:325(get_language)
       86    0.000    0.000    0.010    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loaders/filesystem.py:20(get_contents)
      898    0.005    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/asgiref/local.py:44(_get_context_id)
       70    0.000    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/utils.py:106(as_ul)
    25/16    0.000    0.000    0.009    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:767(do_for)
       98    0.002    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:229(get_select)
        1    0.000    0.000    0.009    0.009 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/grappelli/templatetags/grp_tags.py:32(render)
       18    0.000    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:1430(filter)
        4    0.000    0.000    0.009    0.002 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:383(__iter__)
       18    0.000    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:1446(_filter_or_exclude)
  644/613    0.001    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/smartif.py:58(eval)
      132    0.001    0.000    0.009    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:316(_order_by_pairs)
      148    0.001    0.000    0.009    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
        1    0.000    0.000    0.008    0.008 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/response.py:69(resolve_template)
        1    0.000    0.000    0.008    0.008 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader.py:22(select_template)
       18    0.000    0.000    0.008    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:1457(_filter_or_exclude_inplace)
       18    0.000    0.000    0.008    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/query.py:1520(add_q)
    31/18    0.000    0.000    0.008    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/query.py:1545(_add_q)
        2    0.000    0.000    0.008    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:114(get_parent)
        2    0.000    0.000    0.008    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:96(find_template)
        1    0.000    0.000    0.008    0.008 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/formsets.py:205(<listcomp>)
       13    0.000    0.000    0.008    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/nested_admin/formsets.py:75(_construct_form)
    33/20    0.000    0.000    0.008    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/query.py:1350(build_filter)
       13    0.000    0.000    0.008    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1110(_construct_form)
       39    0.000    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
       13    0.000    0.000    0.007    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:702(_construct_form)
       18    0.000    0.000    0.007    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:334(__init__)
  812/698    0.001    0.000    0.007    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:541(compile)
       13    0.000    0.000    0.007    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/formsets.py:219(_construct_form)
       23    0.007    0.000    0.007    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.007    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/templatetags/base.py:32(render)
       95    0.000    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:173(search)
       19    0.000    0.000    0.007    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/forms.py:75(__init__)
        1    0.000    0.000    0.006    0.006 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/options.py:2249(_create_formsets)
       23    0.002    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:417(tokenize)
        2    0.000    0.000    0.006    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:277(do_extends)
      140    0.001    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:2093(<lambda>)
      379    0.006    0.000    0.006    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.006    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/response.py:140(content)
        2    0.000    0.000    0.006    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/http/response.py:395(content)
        2    0.000    0.000    0.006    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/http/response.py:305(make_bytes)
      162    0.000    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/expressions.py:501(__hash__)
   361/26    0.001    0.000    0.006    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:128(deepcopy)
      291    0.000    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/urls/resolvers.py:615(reverse_dict)
    38/26    0.000    0.000    0.006    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:227(_deepcopy_dict)
      425    0.002    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:797(__init__)
       46    0.000    0.000    0.006    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/expressions.py:477(identity)
   143/97    0.001    0.000    0.006    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:2428(_signature_from_callable)
       14    0.000    0.000    0.005    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/helpers.py:158(errors)
        1    0.000    0.000    0.005    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/nested_admin/formsets.py:59(__init__)
